Date,Open
9/29/2017,153210007
10/02/2017,154259995
10/03/2017,154009995
10/04/2017,153630005
10/05/2017,154179993
10/06/2017,154970001
10/09/2017,155809998
10/10/2017,156059998
10/11/2017,155970001
10/12/2017,156350006
10/13/2017,156729996
10/16/2017,157899994
10/17/2017,159779999
10/18/2017,160419998
10/19/2017,15675
10/20/2017,156610001
10/23/2017,156889999
10/24/2017,156289993
10/25/2017,156910004
10/26/2017,157229996
10/27/2017,159289993
10/30/2017,163889999
10/31/2017,167899994
11/01/2017,169869995
11/02/2017,166600006
11/03/2017,174
11/06/2017,172369995
11/07/2017,173910004
11/08/2017,174660004
11/09/2017,175110001
11/10/2017,175110001
11/13/2017,1735
11/14/2017,173039993
11/15/2017,169970001
11/16/2017,171179993
11/17/2017,171039993
11/20/2017,170289993
11/21/2017,170779999
11/22/2017,173360001
11/24/2017,175100006
11/27/2017,175050003
11/28/2017,174300003
11/29/2017,172630005
11/30/2017,170429993
12/01/2017,169949997
12/04/2017,172479996
12/05/2017,169059998
12/06/2017,1675
12/07/2017,169029999
12/08/2017,170490005
12/11/2017,169199997
12/12/2017,172149994
12/13/2017,1725
12/14/2017,172399994
12/15/2017,173630005
12/18/2017,174880005
12/19/2017,175029999
12/20/2017,174869995
12/21/2017,174169998
12/22/2017,174679993
12/26/2017,170800003
12/27/2017,170100006
12/28/2017,171
12/29/2017,170520004
